smi,mw
NC[C@H]1CC[C@H](C(=O)O)CC1,157.21299999999997
CO[C@@H]1CCN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)C[C@@H]1F,556.7080000000003
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,263.381
O=C(O)[C@@H](c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCC1,361.4410000000002
CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1,402.4950000000003
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,785.8910000000003
CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,294.39500000000004
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,489.9310000000001
O=C(NCCO[N+](=O)[O-])c1cccnc1,211.177
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,286.45900000000006
CC(S)C(=O)NCC(=O)O,163.198
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,382.5410000000003
CC(=O)Nc1ccc(C(=O)NC(C)(C)C)cc1,234.299
CN(C)CCc1c[nH]c2ccccc12,188.274
COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,518.9320000000004
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,279.34
CCN(Cc1nc2c(N)nc3cc(-c4cc[nH]n4)ccc3c2[nH]1)C(C)=O,349.39800000000014
CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1,400.4980000000002
CC(C)N1C[C@@H]2C[C@H]1CN2c1ccc(Nc2ncc(-c3coc(C(N)=O)c3)n3ncnc23)cc1,458.5260000000002
[2H]C1([2H])[C@@H]2C[C@@H]([C@H](Oc3ccc(C(F)(F)F)cn3)C2)N1C(=O)c1cccc(F)c1-c1ncccn1,460.4272035560001
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.524
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,410.4930000000003
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,444.4880000000002
COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1,401.4420000000002
Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,276.317
CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,340.5070000000001
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,628.8139999999999
CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12,332.353
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,302.41400000000004
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,358.8500000000001
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,285.391
CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,310.437
CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21,354.3670000000001
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.19
COC(=O)Nc1nc2ccccc2[nH]1,191.19000000000003
N[C@@H](CSCC(=O)O)C(=O)O,179.197
Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,411.7850000000001
CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,438.01100000000014
CCCNC(C)C(=O)Nc1ccccc1C,220.316
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,360.837
NC[C@H](CC(=O)O)c1ccc(Cl)cc1,213.664
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,229.23500000000004
